date,trend_1,trend_2,trend_3,trend_4,trend_5
2023-01-06 18:17:11.023512,Sports,AR Rahman,Noah Schnapp,Shankar Mishra,The Pale Blue Eye
2023-01-07 18:15:55.458003,Villarreal vs Real Madrid,Tottenham vs Portsmouth,Delhi Mayor Election,Chris Evans,Cristiano Ronaldo Al Nassr
2023-01-08 18:15:48.198245,Mumbai City vs Kerala Blasters,Sports,Liverpool vs Wolves,Man City vs Chelsea,Real Madrid
2023-01-09 18:18:12.263702,Sajid Khan,GATE 2023 admit card,Infosys,Brazil,PAK vs NZ ODI
2023-01-10 18:17:42.968533,IND vs SL,Sports,IND %E0%A4%AC%E0%A4%A8%E0%A4%BE%E0%A4%AE SL,UP Board Exam date 2023,CA Final Result
2023-01-11 18:21:03.406746,PAK vs NZ,Golden Globes 2023,RRR,Auto Expo 2023,The Fabelmans
2023-01-12 18:18:57.483338,Sri Lanka vs India,Live Score,Veera Simha Reddy,PSG,Man City
2023-01-13 18:17:06.885502,Hockey World Cup 2023,Elvis Presley,Barcelona,Paytm share price,Kanye West
2023-01-14 18:15:46.258923,Man United vs Man City,Napoli vs Juventus,Brighton vs Liverpool,Steven Spielberg,Wolves vs West Ham
2023-01-15 18:15:35.553487,Khashaba Dadasaheb Jadhav,Live Score,Sports,Indian Army Day,Ind %E0%A4%AC%E0%A4%A8%E0%A4%BE%E0%A4%AE SL
2023-01-16 18:16:53.755227,PSG,Australian Open,Rafael Nadal,James Cameron,Ligue 1
2023-01-17 18:17:14.252633,SBI PO Prelims Result,JEE Main 2023 Admit Card,SBI PO Result,Babar Azam news,Gina Lollobrigida
2023-01-18 18:17:11.701585,Shubman Gill,Sports,PSG vs Al Nassr,ICC,FA Cup
2023-01-19 18:17:57.704897,Milan vs Inter,SSC MTS 2023,Adani Enterprises share price,Modi in Mumbai,THU vs REN
2023-01-20 18:17:33.027398,Mission Majnu,Radhika Merchant,Chhatriwali,Usain Bolt,Andy Murray
2023-01-21 18:15:40.072999,Cricket,Sports,Sushant Singh Rajput,Ind %E0%A4%AC%E0%A4%A8%E0%A4%BE%E0%A4%AE NZ,JEE Mains Admit Card 2023
2023-01-22 18:16:02.647172,Man City vs Wolves,Farmer,SCO vs REN,Lunar New Year,Gupt Navratri 2023
2023-01-23 18:15:54.977648,IND vs NZ,Athiya Shetty,Al Nassr,IND-W vs WI-W,Republic Day
2023-01-24 18:17:07.272388,Sports,Earthquake,Shubman Gill,Ind %E0%A4%AC%E0%A4%A8%E0%A4%BE%E0%A4%AE NZ,PSG
2023-01-26 18:17:07.397553,IND vs NZ T20,Real Madrid,Alone,WWE Royal Rumble 2023,Range Rover
2023-01-27 18:17:11.961809,New Zealand vs India,Sports,Adani Port share price,Tata Motors Share Price,Masaba Gupta
2023-01-28 18:15:44.972609,FA Cup,Aryna Sabalenka,Barcelona,Shotgun Wedding,SCO vs SIX
2023-01-29 18:15:34.736229,Bubble tea,Sports,Brighton vs Liverpool,Naba Das,Royal Rumble 2023
2023-01-30 18:17:28.892686,Adani Power share Price,PSG,Annie Wersching,Gandhi,Adani FPO
2023-01-31 18:17:23.258219,Andhra Pradesh capital,Priyanka Chopra,IND vs NZ 3rd T20,Economic Survey 2023,February
2023-02-01 18:17:34.006500,SA vs ENG,IND %E0%A4%AC%E0%A4%A8%E0%A4%BE%E0%A4%AE NZ,UPSC,Wakanda Forever,Comet C/2022 E3
2023-02-02 18:17:43.530342,IND-W vs SA-W,PSG,Sydney Sixers vs Brisbane Heat,La Liga,Lionel Messi
2023-02-03 18:17:53.969849,K Viswanath,CA Foundation Result,Michael movie Review,Thalapathy 67 title,JEE Mains Answer Key 2023
2023-02-04 18:15:49.775483,Everton vs Arsenal,Vani Jayaram,Man United vs Crystal Palace,Kiara Advani,Wolves vs Liverpool
2023-02-05 18:15:48.350696,Mallorca vs Real Madrid,Ronaldo,Man City,Pervez Musharraf,Cristiano Ronaldo
2023-02-06 18:17:46.733934,Turkey Earthquake,Valentine Week,Adani Enterprises share,JEE Mains Result,Holi
2023-02-07 18:17:25.444299,Bard,OnePlus 11,Kerala Blasters,Aaron Finch,Kerala Blasters FC
2023-02-08 18:18:13.618805,Bank of Baroda,Bing,Man United vs Leeds United,Lakers,Mahua Moitra
2023-02-09 18:18:16.372072,Aus vs Ind,India vs Australia,Cricket,Marseille vs PSG,Cricket Live
2023-02-10 18:18:17.277370,PK Rosy,Primary TET Result,Rajasthan Budget 2023,Farzi review,Promise Day
2023-02-11 18:16:16.178009,West Ham vs Chelsea,Kerala Blasters,Arsenal vs Brentford,Leicester City vs Tottenham,Axar Patel
2023-02-12 18:16:38.022568,Zimbabwe vs West Indies,Ravichandran Ashwin,Man City vs Aston Villa,Bigg Boss winner 2023,Smriti Mandhana
2023-02-13 18:18:33.733938,Super Bowl,PSL,Happy Valentine's Day,The Flash,Women's Day
2023-02-14 18:18:09.047471,CTET Answer Key,BBC,Ellyse Perry,Cow Hug Day,Javed Khan Amrohi
2023-02-15 18:18:22.926890,IND W vs WI W,UEFA champions League,ICC Ranking,CRPF Admit Card,Arsenal vs Man City
2023-02-16 18:16:56.782723,England vs New Zealand,Prithvi Shaw,Sri Lanka Women Vs Australia Women,Bengal vs Saurashtra,Tripura Election
2023-02-17 18:18:10.462163,Barcelona vs Man United,Hotstar,Shehzada,Mahashivratri 2023,REET Admit Card 2023
2023-02-18 18:16:39.953021,IND vs ENG,Aston Villa vs Arsenal,SSC GD Answer Key 2023,Nottm Forest vs Man City,Al Nassr
2023-02-19 18:16:45.288886,Mayilsamy,West Indies Women vs Pakistan Women,Mayilsamy actor,Tottenham vs West Ham,Liverpool FC
2023-02-20 18:18:02.890885,Cheteshwar Pujara,MSBTE result,Ligue 1,Goa,Kartik Aaryan Shehzada
2023-02-21 18:18:12.339062,ICC Women's T20 World Cup,International Mother Language Day,Hera Pheri 3,Phulera Dooj,Poco C55
